@@,item,itemlabel,startdate,enddate
->,Q1151234,Dagur B. Eggertsson->Dagur Bergþóruson Eggertsson,2007-10-16,2008-01-24
->,Q1151234,Dagur B. Eggertsson->Dagur Bergþóruson Eggertsson,2014-06-16,
